%time,field.data
1684098519316299019,51.4000015259
1684098519346735862,51.0
1684098519380147374,51.5999984741
1684098519414568131,49.5999984741
1684098519450135548,50.2000007629
1684098519482518810,50.5999984741
1684098519521012546,52.5999984741
1684098519550193879,53.0
1684098519586370555,51.7999992371
1684098519622107424,51.7999992371
1684098519655278576,54.4000015259
1684098519687916230,53.4000015259
1684098519719771323,52.4000015259
1684098519754486107,53.0
1684098519785075958,52.7999992371
1684098519815191672,50.2000007629
1684098519848085031,50.0
1684098519883043222,49.4000015259
1684098519915672837,50.4000015259
1684098519951036987,51.0
1684098519979095450,51.4000015259
1684098520015848906,51.2000007629
1684098520048788294,52.4000015259
1684098520079754209,52.7999992371
1684098520115023559,52.5999984741
1684098520149931301,52.4000015259
1684098520184991729,54.0
1684098520215984301,54.4000015259
1684098520248675931,52.4000015259
1684098520281810685,52.5999984741
1684098520315140907,52.0
1684098520356636061,50.4000015259
1684098520386146516,50.0
1684098520426534812,51.4000015259
1684098520454552821,50.5999984741
1684098520485091305,51.2000007629
1684098520514789632,50.7999992371
1684098520546008365,49.2000007629
1684098520578997435,48.4000015259
1684098520614482751,49.2000007629
1684098520649207274,49.4000015259
1684098520684835586,49.5999984741
1684098520715995570,50.7999992371
1684098520750769855,50.7999992371
1684098520786242366,52.5999984741
1684098520825488046,52.5999984741
1684098520863151765,52.5999984741
1684098520885593863,52.7999992371
1684098520916042475,54.4000015259
1684098520951720411,53.0
1684098520981754924,54.4000015259
1684098521015239387,53.2000007629
1684098521053331439,52.5999984741
1684098521083874127,51.2000007629
1684098521115260630,50.4000015259
1684098521152917123,49.4000015259
1684098521186577805,48.0
1684098521214459997,46.2000007629
1684098521259029413,44.4000015259
1684098521297509490,43.5999984741
1684098521331989565,37.7999992371
1684098521360852377,37.2000007629
1684098521391168594,35.0
1684098521421105491,32.0
1684098521451155699,27.7999992371
1684098521489443933,26.2000007629
1684098521524932439,21.0
1684098521556673503,6.19999980927
1684098521591300536,6.59999990463
1684098521614786750,2.59999990463
1684098521649542516,-1.0
1684098521682231108,-3.40000009537
1684098521716586024,4.0
1684098521748410903,-3.79999995232
1684098521780845262,-8.19999980927
1684098521812974260,-12.3999996185
1684098521847278922,-16.7999992371
1684098521879934076,-20.0
1684098521923423299,-22.3999996185
1684098521949880195,-23.2000007629
1684098521986144721,-22.7999992371
1684098522019527081,-20.6000003815
1684098522049426527,-17.3999996185
1684098522078487087,-13.6000003815
1684098522114989498,-11.8000001907
1684098522138795897,-7.19999980927
1684098522180921831,-5.0
1684098522220231263,-2.40000009537
1684098522247788880,-1.60000002384
1684098522280090772,1.0
1684098522314101768,-0.800000011921
1684098522351228997,0.800000011921
1684098522383642788,2.0
1684098522415244674,2.59999990463
1684098522452085806,4.0
1684098522480047349,7.19999980927
1684098522513639750,8.60000038147
1684098522549593309,7.40000009537
1684098522583894483,8.60000038147
1684098522615450369,10.3999996185
1684098522647988678,10.1999998093
1684098522682056378,10.3999996185
1684098522725748019,12.1999998093
1684098522751725548,13.3999996185
1684098522784386692,13.1999998093
1684098522819073798,16.3999996185
1684098522851809958,17.2000007629
1684098522890138151,18.7999992371
1684098522922968551,17.7999992371
1684098522960376844,17.7999992371
1684098523007182859,20.2000007629
1684098523032780063,14.6000003815
1684098523053895679,11.8000001907
1684098523081383516,12.8000001907
1684098523117211027,13.3999996185
1684098523149556417,8.80000019073
1684098523180901492,13.3999996185
1684098523214571580,11.8000001907
1684098523248943102,9.60000038147
1684098523280973015,6.59999990463
1684098523313877405,4.19999980927
1684098523348322168,2.59999990463
1684098523381452069,3.40000009537
1684098523417159159,3.20000004768
1684098523451309018,3.59999990463
1684098523480693426,5.19999980927
1684098523512966607,6.19999980927
1684098523552046283,8.0
1684098523581131479,9.39999961853
1684098523606720904,10.0
1684098523652901798,12.6000003815
1684098523681393789,13.3999996185
1684098523714225716,15.3999996185
1684098523747426716,18.0
1684098523780432693,20.6000003815
1684098523820459541,20.7999992371
1684098523864412772,22.2000007629
1684098523901276435,22.7999992371
1684098523926096339,23.2000007629
1684098523951387311,25.3999996185
1684098523992388767,25.6000003815
1684098524023255662,27.3999996185
1684098524056286918,28.6000003815
1684098524089351793,28.7999992371
1684098524118823649,28.2000007629
1684098524155109318,28.7999992371
1684098524186513623,29.2000007629
1684098524216509822,28.3999996185
1684098524251302264,29.6000003815
1684098524285238644,28.7999992371
1684098524318431216,28.3999996185
1684098524354121876,27.0
1684098524386248537,24.3999996185
1684098524415497796,22.0
1684098524446852818,20.0
1684098524479988609,17.0
1684098524512962852,14.1999998093
1684098524553886752,12.8000001907
1684098524587641989,8.80000019073
1684098524623502098,5.59999990463
1684098524651003295,3.79999995232
1684098524692857380,0.20000000298
1684098524724099397,-3.59999990463
1684098524747628408,-5.59999990463
1684098524781674694,-8.0
1684098524813504669,-11.1999998093
1684098524847482828,-14.3999996185
1684098524884273811,-16.2000007629
1684098524914324110,-20.0
1684098524951062899,-21.3999996185
1684098524983393025,-22.6000003815
1684098525015101966,-21.3999996185
1684098525049561160,-20.6000003815
1684098525081873604,-19.3999996185
1684098525124171793,-19.0
1684098525157581208,-17.7999992371
1684098525191780921,-16.7999992371
1684098525219156617,-15.8000001907
1684098525250881308,-13.8000001907
1684098525282573900,-11.1999998093
1684098525314247981,-9.19999980927
1684098525350090435,-6.80000019073
1684098525384246524,-6.59999990463
1684098525415644885,-6.0
1684098525459285169,-5.80000019073
1684098525490428621,-5.40000009537
1684098525530091326,-5.59999990463
1684098525558025504,-3.79999995232
1684098525588956613,-1.0
1684098525616649057,-0.20000000298
