%time,field.data
1684098570985203779,33.0
1684098571023613580,34.4000015259
1684098571049235822,35.7999992371
1684098571079593969,35.2000007629
1684098571114555321,35.4000015259
1684098571151740731,36.4000015259
1684098571182903532,35.5999984741
1684098571214027147,33.5999984741
1684098571245965504,33.5999984741
1684098571279873937,32.4000015259
1684098571315557229,32.5999984741
1684098571350151601,31.7999992371
1684098571383483306,33.2000007629
1684098571413260715,34.0
1684098571446158817,34.0
1684098571481138402,32.7999992371
1684098571513944783,32.7999992371
1684098571548382203,32.2000007629
1684098571585833640,32.0
1684098571620537520,33.4000015259
1684098571651256034,33.2000007629
1684098571686744861,33.4000015259
1684098571721342813,33.4000015259
1684098571756341911,31.7999992371
1684098571786061673,30.6000003815
1684098571816858210,31.0
1684098571851235778,31.0
1684098571903825912,29.6000003815
1684098571930151220,30.6000003815
1684098571954486923,32.2000007629
1684098571982365812,32.0
1684098572014852927,31.7999992371
1684098572048439938,33.2000007629
1684098572080805087,33.7999992371
1684098572116864987,32.2000007629
1684098572152697235,32.0
1684098572186520797,33.0
1684098572214446230,33.0
1684098572246232448,32.5999984741
1684098572283685817,32.4000015259
1684098572314762291,32.5999984741
1684098572347599030,30.7999992371
1684098572382661885,30.6000003815
1684098572434288296,29.7999992371
1684098572448131754,30.0
1684098572482595791,29.7999992371
1684098572515314494,30.7999992371
1684098572551135081,31.0
1684098572583321839,31.7999992371
1684098572615722497,31.7999992371
1684098572649600662,32.2000007629
1684098572681149683,31.2000007629
1684098572714550866,31.2000007629
1684098572753795149,30.3999996185
1684098572780982622,29.6000003815
1684098572816068872,29.6000003815
1684098572849806565,29.3999996185
1684098572879468758,29.2000007629
1684098572912883129,29.7999992371
1684098572948148260,30.6000003815
1684098572987866426,30.6000003815
1684098573013237724,31.7999992371
1684098573047042695,32.0
1684098573080939742,32.0
1684098573116114824,32.0
1684098573153593577,32.2000007629
1684098573190082349,32.2000007629
1684098573228941024,32.0
1684098573263839407,31.7999992371
1684098573290989955,31.7999992371
1684098573317505469,31.3999996185
1684098573353276076,31.3999996185
1684098573387350366,32.4000015259
1684098573422182006,32.5999984741
1684098573450507568,31.7999992371
1684098573482916432,32.2000007629
1684098573515781798,31.7999992371
1684098573549930853,30.7999992371
1684098573583931811,29.7999992371
1684098573616165715,29.3999996185
1684098573651496773,26.3999996185
1684098573689611490,24.7999992371
1684098573720487016,22.6000003815
1684098573748880987,19.2000007629
1684098573779430405,16.6000003815
1684098573813188460,14.6000003815
1684098573848319136,11.6000003815
1684098573880250423,8.19999980927
1684098573927718838,5.80000019073
1684098573950727989,2.40000009537
1684098573982292402,-0.20000000298
1684098574017222134,-4.80000019073
1684098574049165001,-8.60000038147
1684098574080239389,-11.1999998093
1684098574115143772,-15.6000003815
1684098574156882961,-21.0
1684098574180257033,-24.7999992371
1684098574217735165,-29.0
1684098574253341711,-35.0
1684098574283223237,-65.0
1684098574316723409,-67.4000015259
1684098574353569444,-95.0
